PLACE_NM,TRRSRT_ROAD_NM_ADDR,TRNSPORT_INFO_CN,CRSLK_ADDR,CRSLK_ROAD_NM,CHILD_PRTC_ZONE_AT,CRSLK_LA,CRSLK_LO
장림포구,부산광역시 사하구 장림로93번길 72,"도시철도 1호선 장림역 하차 후, 마을버스 5번 환승 후 장림포구 하차, 도보 2분 이동, 버스 : 부산역에서 1000번 버스 승차, 장림시장 하차, 도보 18분 이동",부산 사하구 장림동 1143,장림로,N,35.08151,128.95975
다대포해수욕장,부산광역시 사하구 몰운대1길 14,"도시철도 1호선 다대포해수욕장역 2번 출구 도보 8분, 버스 11, 2, 3, 338, 96, 96-1, 1000 다대포해수욕장 하차, 주차 다대포해수욕장 공영주차장(유료)",부산 사하구 다대동 1543,다대로,Y,35.04843,128.96523
다대포꿈의낙조분수,부산광역시 사하구 몰운대1길 14,"지하철 이용 시 : 1호선 다대포해수욕장역 하차 후 4번 출구 도보 3분, 버스 이용 시 : 3, 96, 96-1, 338, 1000번 - 하차정류장(다대포 해수욕장역) 도보 5분, 자가용 이용 시 : 몰운대주차장(공영), 중앙주차장(공영) 주차요금 : 10분당 200원",부산 사하구 다대동 1552-2,다대로,Y,35.04763,128.96797
다대포 해양레포츠센터,부산광역시 사하구 몰운대 1길 52,"도시철도 1호선 다대포해수욕장역 하차 도보 5분, 주차 다대포해수욕장 공영주차장(유료)",부산 사하구 다대동 1552-2,다대로,Y,35.04764,128.96809
승학산 억새평원,부산광역시 사하구 당리동 산 45-1,"도시철도 1호선 당리역 1번 출구 → 마을버스 사하구2, 2-1 동원베네스트2차아파트 하차 등산로 도보 이동, 버스 123, 126, 138, 16, 2, 3, 520, 58-2, 1001 사하구청 하차 도보 23분",부산 사하구 당리동 315,제석로,Y,35.10518,128.97396
몰운대,부산광역시 사하구 다대동 산 144,도시철도 1호선 다대포해수욕장역 4번 출구 도보 5분,부산 사하구 다대동 1552-2,다대로,Y,35.04767,128.96804
아미산전망대,부산광역시 사하구 다대낙조2길 77,"도시철도 1호선 다대포항역 1번 출구 → 사하구15 마을버스 환승 → 몰운대성당 하차 도보2분, 주차 아미산전망대 공영주차장(무료)",부산 사하구 다대동 1550-3,다대낙조2길,Y,35.05211,128.9608
을숙도,부산광역시 사하구 낙동남로 1240,"도시철도 1호선 하단역 3번 출구 → 3, 55, 58, 58-2, 168, 520, 1005, 2000, 58-1, 221 버스 환승 을숙도(문화회관) 하차 도보 10분, 버스 3, 55, 58, 58-2, 168, 520, 1005, 2000, 58-1, 221 을숙도(문화회관) 하차 도보 10분, 주차 을숙도 공영주차장",부산 사하구 하단동 1150-1,낙동남로,N,35.10877,128.94627
을숙도생태공원,부산광역시 사하구 낙동남로 1240,"도시철도 1호선 하단역 3번 출구 → 3, 55, 58, 58-2, 168, 520, 1005, 2000, 58-1, 221 버스 환승 을숙도(문화회관) 하차 도보 10분/ 주차 을숙도 공영주차장",부산 사하구 하단동 1149-13,낙동남로,N,35.10801,128.94594
삼락생태공원오토캠핑,부산광역시 사상구 삼락동 29-59,경전철 괘법 르네시떼역 1번 출구 도보 14분,부산 사상구 괘법동 574,낙동대로,Y,35.1666,128.97654
